Feature,Importance
Thumb_None or Unspecified,3.5382004858758992e-06
Maturity Date_2005-03-31,3.536645479005135e-06
saledate_2007-06-20,3.53368013250619e-06
saledate_1998-10-16,3.5252227204274886e-06
Engine_Horsepower_Variable,3.5040132296440083e-06
fiModelDesc_120G,3.4959390508647434e-06
state_Utah,3.480648222537653e-06
"Tire_Size_15.5""",3.457282281889229e-06
fiProductClassDesc_Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,3.4030307193065065e-06
saledate_2010-03-23,3.3632011874574643e-06
state_Nevada,3.3595484245520597e-06
fiBaseModel_310,3.3330622304375958e-06
saledate_1993-07-12,3.331433606174308e-06
fiModelDesc_936E,3.3266466113673563e-06
saledate_2007-11-16,3.3194805726354936e-06
saledate_2002-02-19,3.308395105895512e-06
fiModelDesc_345BL,3.308295607305806e-06
Blade_Width_16',3.3040302306179082e-06
fiModelDesc_D9N,3.290193430991033e-06
state_Alabama,3.2892728761300368e-06
saledate_2010-12-14,3.2830514519824842e-06
fiModelDesc_PC160LC7KA,3.225209500532867e-06
saledate_1999-02-02,3.2163224812324196e-06
fiModelDesc_700J,3.215051647246887e-06
fiBaseModel_PC220,3.2123452106060775e-06
is_q4,3.207298129770565e-06
UsageBand_High,3.1929732737172833e-06
fiModelDesc_PC300LC7,3.1741106374849435e-06
state_Utah,3.137168117817741e-06
fiBaseModel_G930,3.120050416336541e-06
saledate_2008-11-18,3.112373549880228e-06
fiModelSeries_-3,3.1026185296953327e-06
saledate_1999-03-29,3.1015611843130683e-06
fiModelDesc_700JLGP,3.065149803512231e-06
Blade_Type_Straight,3.065037193621646e-06
Hydraulics_3 Valve,3.047305575201055e-06
fiBaseModel_G990,3.047132375250591e-06
state_Connecticut,3.0444403971625735e-06
fiModelDesc_G730B,3.0288565554053383e-06
Maturity Date_2013-05-31,3.0066132817395393e-06
lag1_hours_machine,2.9926952509507437e-06
Maturity Date_2010-03-18,2.9921051211047606e-06
fiModelDesc_D6HLGP,2.987645269799708e-06
saledate_1990-02-06,2.976875677821319e-06
fiModelDesc_670,2.966266696074022e-06
Maturity Date_2000-02-03,2.9554584201247902e-06
saledate_2005-03-23,2.951548128953774e-06
saledate_2009-09-29,2.9349795439997495e-06
fiModelDesc_730A,2.9189695780483223e-06
fiModelDesc_160HNA,2.8890270415274855e-06
state_North Carolina,2.8885847483622e-06
fiBaseModel_CX330,2.8772568299734153e-06
Maturity Date_2002-10-31,2.8689751717873745e-06
fiModelSeries_3,2.835204916495803e-06
fiModelDesc_624E,2.829321049500041e-06
saledate_2001-02-08,2.8114461713973925e-06
fiBaseModel_CX210,2.7524396707871623e-06
fiModelDesc_PC78US-6,2.7319880196349106e-06
fiBaseModel_PC228,2.7303602621969248e-06
fiModelDesc_670D,2.7169096099536026e-06
saledate_2011-09-12,2.7164235463979433e-06
Maturity Date_2009-10-29,2.7060061985509228e-06
state_North Carolina,2.6806073719910505e-06
fiBaseModel_G730,2.668042966649226e-06
saledate_2009-05-19,2.64217866299746e-06
state_Louisiana,2.6373231981874846e-06
saledate_2008-02-11,2.632772686844017e-06
Maturity Date_2002-01-10,2.625126618400124e-06
fiModelDesc_980B,2.5920228145962484e-06
state_Connecticut,2.577925306447373e-06
fiBaseModel_PC308,2.559488300095289e-06
Maturity Date_2011-01-27,2.522996691531931e-06
saledate_1996-04-04,2.5175176777599157e-06
fiModelDesc_WA600-3L,2.514259235510644e-06
fiProductClassDesc_Backhoe Loader - Unidentified,2.4982401300289217e-06
saledate_2008-05-29,2.4548119577492805e-06
state_Louisiana,2.4534403648562474e-06
Maturity Date_2031-02-15,2.4515877535371674e-06
Maturity Date_1993-02-15,2.441122517321496e-06
fiBaseModel_D53,2.440861370808083e-06
fiModelDesc_EC290,2.4407800767743195e-06
fiModelDesc_FD255,2.3906694473428676e-06
fiBaseModel_160,2.38125099750809e-06
saledate_2008-06-05,2.3662531645264158e-06
saledate_2008-03-25,2.3593589384942074e-06
saledate_2011-07-27,2.3503495708913885e-06
Steering_Controls_Command Control,2.314848793656432e-06
saledate_2009-06-18,2.2981475452390544e-06
fiBaseModel_WA600,2.2958638026567268e-06
saledate_2010-02-17,2.2923813751913085e-06
fiModelDesc_CX210LR,2.2899149887244906e-06
fiModelDesc_853,2.2881404741279717e-06
saledate_2010-06-08,2.272879917858704e-06
state_New York,2.2698811477375823e-06
fiProductClassDesc_Wheel Loader - 60.0 to 80.0 Horsepower,2.2416637555215233e-06
fiModelDesc_307CSB,2.230265462569136e-06
fiModelSeries_-8,2.2253281291882636e-06
Maturity Date_2013-06-30,2.217546825785683e-06
fiModelDescriptor_ZTS,2.216244997289386e-06
Maturity Date_2013-05-15,2.2032915232422404e-06
is_year_end,2.2028530394657687e-06
Maturity Date_2016-04-15,2.201731438223077e-06
Undercarriage_Pad_Width_None or Unspecified,2.1773679180623984e-06
saledate_2006-02-22,2.1737171154120565e-06
fiModelSeries_D,2.128664274018597e-06
Hydraulics_Base + 1 Function,2.1023639221660042e-06
state_Wisconsin,2.092025760851693e-06
"fiProductClassDesc_Hydraulic Excavator, Track - 28.0 to 33.0 Metric Tons",2.0770533671716105e-06
state_Tennessee,2.0685819870690357e-06
saledate_2009-02-09,2.0557665949301464e-06
state_Georgia,2.050881162307732e-06
saledate_2009-03-10,2.0304631017780177e-06
"fiProductClassDesc_Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",2.025170103440123e-06
state_Wisconsin,2.0249607204874826e-06
fiModelDescriptor_LX,2.0238293164809322e-06
saledate_2008-12-16,1.9969522425773265e-06
"Stick_Length_9' 6""",1.974074724302263e-06
Track_Type_Steel,1.9731076462862618e-06
fiBaseModel_PC270,1.9719325043310775e-06
fiModelDesc_310G,1.97140489990785e-06
fiModelDesc_PC400LC5L,1.965666319772835e-06
fiBaseModel_A600,1.9548137795653407e-06
Maturity Date_2009-06-18,1.9380858350517013e-06
fiBaseModel_853,1.934987724633348e-06
fiModelDesc_120,1.9345339983149096e-06
fiBaseModel_672,1.9190344722338233e-06
saledate_2010-02-08,1.9176689766492956e-06
saledate_2008-09-24,1.917557215444825e-06
Track_Type_Rubber,1.90756373447504e-06
saledate_2010-09-28,1.8913068725432956e-06
fiBaseModel_322,1.888902156974795e-06
saledate_2003-03-19,1.8553666920951628e-06
